Threads,Run,Time (s)
2,1,1.984479600
2,2,1.990507223
2,3,1.981894011
2,4,1.980194273
2,5,1.974585994
4,1,1.017237497
4,2,1.012077588
4,3,1.009708900
4,4,1.014258973
4,5,1.020231634
8,1,.576308892
8,2,.618423540
8,3,.624803858
8,4,.622755034
8,5,.619316423
16,1,.461072783
16,2,.446531810
16,3,.471234536
16,4,.468668947
16,5,.474864959
32,1,.515605097
32,2,.516498266
32,3,.498043755
32,4,.493307892
32,5,.483670497
