Evaluating ./philosophers...
Program: ./philosophers_TAS | Threads: 4 | Run: 2 | Time: .368486306 seconds
Program: ./philosophers_TAS | Threads: 4 | Run: 3 | Time: .128517436 seconds
Program: ./philosophers_TAS | Threads: 4 | Run: 4 | Time: .184130291 seconds
Program: ./philosophers_TAS | Threads: 4 | Run: 5 | Time: .273268248 seconds
Program: ./philosophers_TAS | Threads: 8 | Run: 1 | Time: 3.092383345 seconds
Program: ./philosophers_TAS | Threads: 8 | Run: 2 | Time: .475181389 seconds
Program: ./philosophers_TAS | Threads: 8 | Run: 3 | Time: 1.273564041 seconds
Program: ./philosophers_TAS | Threads: 8 | Run: 4 | Time: .472972683 seconds
Program: ./philosophers_TAS | Threads: 8 | Run: 5 | Time: 1.000538264 seconds
Program: ./philosophers_TAS | Threads: 16 | Run: 1 | Time: 2.133230600 seconds
Program: ./philosophers_TAS | Threads: 16 | Run: 2 | Time: 1.516155103 seconds
Program: ./philosophers_TAS | Threads: 16 | Run: 3 | Time: 6.172698570 seconds
Program: ./philosophers_TAS | Threads: 16 | Run: 4 | Time: 1.277443603 seconds
Program: ./philosophers_TAS | Threads: 16 | Run: 5 | Time: 2.069471229 seconds
Program: ./philosophers_TAS | Threads: 32 | Run: 1 | Time: 8.487412956 seconds
Program: ./philosophers_TAS | Threads: 32 | Run: 2 | Time: 4.448062774 seconds
Program: ./philosophers_TAS | Threads: 32 | Run: 3 | Time: 4.031407689 seconds
Program: ./philosophers_TAS | Threads: 32 | Run: 4 | Time: 2.757477011 seconds
Program: ./philosophers_TAS | Threads: 32 | Run: 5 | Time: 5.216585371 seconds
Evaluating ./prod_conso_TAS...
Program: ./prod_conso_TAS | Threads: 2 | Run: 1 | Time: .867895818 seconds
Program: ./prod_conso_TAS | Threads: 2 | Run: 2 | Time: .945207705 seconds
Program: ./prod_conso_TAS | Threads: 2 | Run: 3 | Time: .795513787 seconds
Program: ./prod_conso_TAS | Threads: 2 | Run: 4 | Time: .928304814 seconds
Program: ./prod_conso_TAS | Threads: 2 | Run: 5 | Time: .887540070 seconds
Program: ./prod_conso_TAS | Threads: 4 | Run: 1 | Time: .572561113 seconds
Program: ./prod_conso_TAS | Threads: 4 | Run: 2 | Time: .619121230 seconds
Program: ./prod_conso_TAS | Threads: 4 | Run: 3 | Time: .625911757 seconds
Program: ./prod_conso_TAS | Threads: 4 | Run: 4 | Time: .550033120 seconds
Program: ./prod_conso_TAS | Threads: 4 | Run: 5 | Time: .481439033 seconds
Program: ./prod_conso_TAS | Threads: 8 | Run: 1 | Time: .947319373 seconds
Program: ./prod_conso_TAS | Threads: 8 | Run: 2 | Time: 1.362119243 seconds
Program: ./prod_conso_TAS | Threads: 8 | Run: 3 | Time: 2.233646190 seconds
Program: ./prod_conso_TAS | Threads: 8 | Run: 4 | Time: 1.483581702 seconds
Program: ./prod_conso_TAS | Threads: 8 | Run: 5 | Time: .595682306 seconds
Program: ./prod_conso_TAS | Threads: 16 | Run: 1 | Time: 1.039446110 seconds
Program: ./prod_conso_TAS | Threads: 16 | Run: 2 | Time: 2.112410359 seconds
Program: ./prod_conso_TAS | Threads: 16 | Run: 3 | Time: .879432268 seconds
Program: ./prod_conso_TAS | Threads: 16 | Run: 4 | Time: 2.521635078 seconds
Program: ./prod_conso_TAS | Threads: 16 | Run: 5 | Time: 2.391322416 seconds
Program: ./prod_conso_TAS | Threads: 32 | Run: 1 | Time: 26.173740721 seconds
Program: ./prod_conso_TAS | Threads: 32 | Run: 2 | Time: 47.122034208 seconds
Program: ./prod_conso_TAS | Threads: 32 | Run: 3 | Time: 108.925761623 seconds
Program: ./prod_conso_TAS | Threads: 32 | Run: 4 | Time: 43.045789010 seconds
Program: ./prod_conso_TAS | Threads: 32 | Run: 5 | Time: 79.678860316 seconds
Evaluating ./readers_writers_TAS...
Program: ./readers_writers_TAS | Threads: 2 | Run: 1 | Time: .027016390 seconds
Program: ./readers_writers_TAS | Threads: 2 | Run: 2 | Time: .035692745 seconds
Program: ./readers_writers_TAS | Threads: 2 | Run: 3 | Time: .038642294 seconds
Program: ./readers_writers_TAS | Threads: 2 | Run: 4 | Time: .064672703 seconds
Program: ./readers_writers_TAS | Threads: 2 | Run: 5 | Time: .047432136 seconds
Program: ./readers_writers_TAS | Threads: 4 | Run: 1 | Time: .076807033 seconds
Program: ./readers_writers_TAS | Threads: 4 | Run: 2 | Time: .039043403 seconds
Program: ./readers_writers_TAS | Threads: 4 | Run: 3 | Time: .035904316 seconds
Program: ./readers_writers_TAS | Threads: 4 | Run: 4 | Time: .040059428 seconds
Program: ./readers_writers_TAS | Threads: 4 | Run: 5 | Time: .033365631 seconds
Program: ./readers_writers_TAS | Threads: 8 | Run: 1 | Time: .038776209 seconds
Program: ./readers_writers_TAS | Threads: 8 | Run: 2 | Time: .657184490 seconds
Program: ./readers_writers_TAS | Threads: 8 | Run: 3 | Time: .025211873 seconds
Program: ./readers_writers_TAS | Threads: 8 | Run: 4 | Time: 3.942341994 seconds
Program: ./readers_writers_TAS | Threads: 8 | Run: 5 | Time: .017538489 seconds
Program: ./readers_writers_TAS | Threads: 16 | Run: 1 | Time: 1.996071637 seconds
Program: ./readers_writers_TAS | Threads: 16 | Run: 2 | Time: .023478062 seconds
Program: ./readers_writers_TAS | Threads: 16 | Run: 3 | Time: .945561838 seconds
Program: ./readers_writers_TAS | Threads: 16 | Run: 4 | Time: .996613667 seconds
Program: ./readers_writers_TAS | Threads: 16 | Run: 5 | Time: 18.959978910 seconds
Program: ./readers_writers_TAS | Threads: 32 | Run: 1 | Time: 8.201448146 seconds
Program: ./readers_writers_TAS | Threads: 32 | Run: 2 | Time: .538137272 seconds
Program: ./readers_writers_TAS | Threads: 32 | Run: 3 | Time: 7.248093999 seconds
Program: ./readers_writers_TAS | Threads: 32 | Run: 4 | Time: .018350668 seconds
Program: ./readers_writers_TAS | Threads: 32 | Run: 5 | Time: .025071676 seconds
Evaluating ./philosophers_TATAS...
Program: ./philosophers_TATAS | Threads: 2 | Run: 1 | Time: .160239301 seconds
Program: ./philosophers_TATAS | Threads: 2 | Run: 2 | Time: .203116233 seconds
Program: ./philosophers_TATAS | Threads: 2 | Run: 3 | Time: .180037512 seconds
Program: ./philosophers_TATAS | Threads: 2 | Run: 4 | Time: .177746063 seconds
Program: ./philosophers_TATAS | Threads: 2 | Run: 5 | Time: .176997693 seconds
Program: ./philosophers_TATAS | Threads: 4 | Run: 1 | Time: .459751594 seconds
Program: ./philosophers_TATAS | Threads: 4 | Run: 2 | Time: .524376743 seconds
Program: ./philosophers_TATAS | Threads: 4 | Run: 3 | Time: .500800998 seconds
Program: ./philosophers_TATAS | Threads: 4 | Run: 4 | Time: .388239600 seconds
Program: ./philosophers_TATAS | Threads: 4 | Run: 5 | Time: .451172347 seconds
Program: ./philosophers_TATAS | Threads: 8 | Run: 1 | Time: .459947546 seconds
Program: ./philosophers_TATAS | Threads: 8 | Run: 2 | Time: .459396340 seconds
Program: ./philosophers_TATAS | Threads: 8 | Run: 3 | Time: 1.081793782 seconds
Program: ./philosophers_TATAS | Threads: 8 | Run: 4 | Time: .911318407 seconds
Program: ./philosophers_TATAS | Threads: 8 | Run: 5 | Time: .553043981 seconds
Program: ./philosophers_TATAS | Threads: 16 | Run: 1 | Time: 2.979354525 seconds
Program: ./philosophers_TATAS | Threads: 16 | Run: 2 | Time: 1.991731522 seconds
Program: ./philosophers_TATAS | Threads: 16 | Run: 3 | Time: 1.165910310 seconds
Program: ./philosophers_TATAS | Threads: 16 | Run: 4 | Time: 1.517907012 seconds
Program: ./philosophers_TATAS | Threads: 16 | Run: 5 | Time: 3.700231591 seconds
Program: ./philosophers_TATAS | Threads: 32 | Run: 1 | Time: 4.040891989 seconds
Program: ./philosophers_TATAS | Threads: 32 | Run: 2 | Time: 3.566490006 seconds
Program: ./philosophers_TATAS | Threads: 32 | Run: 3 | Time: 6.227984651 seconds
Program: ./philosophers_TATAS | Threads: 32 | Run: 4 | Time: 2.543028944 seconds
Program: ./philosophers_TATAS | Threads: 32 | Run: 5 | Time: 3.304364024 seconds
Evaluating ./prod_conso_TATAS...
Program: ./prod_conso_TATAS | Threads: 2 | Run: 1 | Time: 1.041333601 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 2 | Time: 1.194221656 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 3 | Time: .967660612 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 4 | Time: 1.009727971 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 5 | Time: 1.002090129 seconds
Program: ./prod_conso_TATAS | Threads: 4 | Run: 1 | Time: .779008091 seconds
Program: ./prod_conso_TATAS | Threads: 4 | Run: 2 | Time: .593469054 seconds
Program: ./prod_conso_TATAS | Threads: 4 | Run: 3 | Time: .660106422 seconds
Program: ./prod_conso_TATAS | Threads: 4 | Run: 4 | Time: .936876720 seconds
Program: ./prod_conso_TATAS | Threads: 4 | Run: 5 | Time: .634291541 seconds
Program: ./prod_conso_TATAS | Threads: 8 | Run: 1 | Time: .639371642 seconds
Program: ./prod_conso_TATAS | Threads: 8 | Run: 2 | Time: 3.410255562 seconds
Program: ./prod_conso_TATAS | Threads: 8 | Run: 3 | Time: 2.939077050 seconds
Program: ./prod_conso_TATAS | Threads: 8 | Run: 4 | Time: 3.985329104 seconds
Program: ./prod_conso_TATAS | Threads: 8 | Run: 5 | Time: .638129339 seconds
Program: ./prod_conso_TATAS | Threads: 16 | Run: 1 | Time: 6.258837908 seconds
Program: ./prod_conso_TATAS | Threads: 16 | Run: 2 | Time: 4.040597199 seconds
Program: ./prod_conso_TATAS | Threads: 16 | Run: 3 | Time: 3.643609624 seconds
Program: ./prod_conso_TATAS | Threads: 16 | Run: 4 | Time: 4.627190623 seconds
Program: ./prod_conso_TATAS | Threads: 16 | Run: 5 | Time: 2.769055237 seconds
Program: ./prod_conso_TATAS | Threads: 32 | Run: 1 | Time: 77.045629196 seconds
Program: ./prod_conso_TATAS | Threads: 32 | Run: 2 | Time: 8.165752524 seconds
Program: ./prod_conso_TATAS | Threads: 32 | Run: 3 | Time: 70.940001481 seconds
Program: ./prod_conso_TATAS | Threads: 32 | Run: 4 | Time: 10.295097476 seconds
Program: ./prod_conso_TATAS | Threads: 32 | Run: 5 | Time: 7.553601588 seconds
Evaluating ./readers_writers_TATAS...
