Threads,Run,Time (s)
2,1,2.00
2,2,1.98
2,3,2.00
2,4,1.98
2,5,1.99
2,6,1.98
2,7,1.99
2,8,2.00
2,9,1.98
2,10,2.00
4,1,1.00
4,2,1.00
4,3,1.02
4,4,1.00
4,5,1.00
4,6,1.00
4,7,1.00
4,8,1.00
4,9,1.01
4,10,1.00
8,1,0.59
8,2,0.62
8,3,0.59
8,4,0.69
8,5,0.79
8,6,0.74
8,7,0.74
8,8,0.77
8,9,0.75
8,10,0.79
16,1,0.60
16,2,0.60
16,3,0.60
16,4,0.61
16,5,0.60
16,6,0.60
16,7,0.60
16,8,0.61
16,9,0.61
16,10,0.61
32,1,0.61
32,2,0.61
32,3,0.61
32,4,0.61
32,5,0.61
32,6,0.60
32,7,0.61
32,8,0.61
32,9,0.60
32,10,0.61
