Threads,Run,Time (s)
2,1,0.15
2,2,0.14
2,3,0.14
2,4,0.15
2,5,0.14
4,1,0.30
4,2,0.32
4,3,0.31
4,4,0.34
4,5,0.29
8,1,0.57
8,2,0.58
8,3,0.61
8,4,0.60
8,5,0.57
16,1,1.11
16,2,1.14
16,3,1.19
16,4,1.12
16,5,1.14
32,1,1.89
32,2,1.88
32,3,1.95
32,4,1.93
32,5,1.94
