Threads,Run,Time (s)
2,1,0.19
2,2,0.24
2,3,0.26
2,4,0.25
2,5,0.27
4,1,0.62
4,2,0.62
4,3,0.65
4,4,0.48
4,5,0.61
8,1,0.84
8,2,0.89
8,3,0.91
8,4,0.87
8,5,0.95
16,1,3.63
16,2,3.70
16,3,3.13
16,4,4.70
16,5,4.49
32,1,10.55
32,2,8.62
32,3,9.52
32,4,9.27
32,5,9.20
