Threads,Run,Time (s)
2,1,0.23
2,2,0.21
2,3,0.22
2,4,0.19
2,5,0.11
4,1,0.56
4,2,0.55
4,3,0.46
4,4,0.57
4,5,0.54
8,1,0.74
8,2,0.77
8,3,0.74
8,4,0.75
8,5,0.77
16,1,3.05
16,2,3.29
16,3,3.68
16,4,2.95
16,5,3.86
32,1,10.57
32,2,10.95
32,3,10.69
32,4,10.92
32,5,10.79
