Program,Threads,Run,Time (s)
./prod_conso_TAS,2,1,1.67
./prod_conso_TAS,2,2,1.69
./prod_conso_TAS,2,3,2.95
./prod_conso_TAS,2,4,2.07
./prod_conso_TAS,2,5,1.69
./prod_conso_TAS,2,6,1.72
./prod_conso_TAS,2,7,1.68
./prod_conso_TAS,2,8,1.69
./prod_conso_TAS,2,9,1.75
./prod_conso_TAS,2,10,1.70
./prod_conso_TAS,2,11,1.69
./prod_conso_TAS,2,12,1.66
./prod_conso_TAS,2,13,1.70
./prod_conso_TAS,2,14,1.69
./prod_conso_TAS,2,15,1.68
./prod_conso_TAS,2,16,1.86
./prod_conso_TAS,2,17,1.67
./prod_conso_TAS,2,18,1.68
./prod_conso_TAS,2,19,1.68
./prod_conso_TAS,2,20,1.68
./prod_conso_TAS,4,1,0.85
./prod_conso_TAS,4,2,0.85
./prod_conso_TAS,4,3,1.04
./prod_conso_TAS,4,4,0.85
./prod_conso_TAS,4,5,0.88
./prod_conso_TAS,4,6,0.85
./prod_conso_TAS,4,7,0.85
./prod_conso_TAS,4,8,0.85
./prod_conso_TAS,4,9,0.85
./prod_conso_TAS,4,10,4.19
./prod_conso_TAS,4,11,0.85
./prod_conso_TAS,4,12,0.85
./prod_conso_TAS,4,13,1.15
./prod_conso_TAS,4,14,0.85
./prod_conso_TAS,4,15,1.33
./prod_conso_TAS,4,16,0.85
./prod_conso_TAS,4,17,0.85
./prod_conso_TAS,4,18,3.53
./prod_conso_TAS,4,19,3.30
./prod_conso_TAS,4,20,0.85
./prod_conso_TAS,8,1,0.43
./prod_conso_TAS,8,2,0.42
./prod_conso_TAS,8,3,1.13
./prod_conso_TAS,8,4,0.49
./prod_conso_TAS,8,5,0.42
./prod_conso_TAS,8,6,2.15
./prod_conso_TAS,8,7,0.42
./prod_conso_TAS,8,8,4.02
./prod_conso_TAS,8,9,5.30
./prod_conso_TAS,8,10,0.44
./prod_conso_TAS,8,11,0.43
./prod_conso_TAS,8,12,0.90
./prod_conso_TAS,8,13,0.45
./prod_conso_TAS,8,14,0.77
./prod_conso_TAS,8,15,0.42
./prod_conso_TAS,8,16,0.42
./prod_conso_TAS,8,17,0.42
./prod_conso_TAS,8,18,0.47
./prod_conso_TAS,8,19,0.82
./prod_conso_TAS,8,20,1.69
./prod_conso_TAS,16,1,0.24
./prod_conso_TAS,16,2,0.25
./prod_conso_TAS,16,3,0.24
./prod_conso_TAS,16,4,0.24
./prod_conso_TAS,16,5,0.24
./prod_conso_TAS,16,6,0.24
./prod_conso_TAS,16,7,0.24
./prod_conso_TAS,16,8,0.24
./prod_conso_TAS,16,9,0.24
./prod_conso_TAS,16,10,0.24
./prod_conso_TAS,16,11,0.24
./prod_conso_TAS,16,12,0.24
./prod_conso_TAS,16,13,0.24
./prod_conso_TAS,16,14,0.24
./prod_conso_TAS,16,15,0.24
./prod_conso_TAS,16,16,0.25
./prod_conso_TAS,16,17,0.24
./prod_conso_TAS,16,18,0.24
./prod_conso_TAS,16,19,0.24
./prod_conso_TAS,16,20,0.24
./prod_conso_TAS,32,1,0.83
./prod_conso_TAS,32,2,0.54
./prod_conso_TAS,32,3,0.78
./prod_conso_TAS,32,4,0.84
./prod_conso_TAS,32,5,0.74
./prod_conso_TAS,32,6,0.57
./prod_conso_TAS,32,7,0.72
./prod_conso_TAS,32,8,0.89
./prod_conso_TAS,32,9,0.95
./prod_conso_TAS,32,10,0.62
./prod_conso_TAS,32,11,0.70
./prod_conso_TAS,32,12,0.72
./prod_conso_TAS,32,13,0.68
./prod_conso_TAS,32,14,1.02
./prod_conso_TAS,32,15,0.62
./prod_conso_TAS,32,16,1.02
./prod_conso_TAS,32,17,0.74
./prod_conso_TAS,32,18,0.89
./prod_conso_TAS,32,19,0.78
./prod_conso_TAS,32,20,0.79
