Threads,Run,Time (s)
2,1,.084792317
2,2,.051902776
2,3,.052311313
2,4,.051759988
2,5,.051430137
4,1,.032917952
4,2,.033176362
4,3,.033132245
4,4,.033256871
4,5,.032787574
8,1,.022940197
8,2,.023191576
8,3,.023135019
8,4,.023209467
8,5,.022860273
16,1,.019458832
16,2,.018944125
16,3,.019295426
16,4,.021414272
16,5,.018617491
32,1,.017127146
32,2,.018269049
32,3,.018041538
32,4,.020089841
32,5,.017632340
