Threads,Run,Time (s)
2,1,0.24
2,2,0.23
2,3,0.22
2,4,0.22
2,5,0.20
4,1,0.50
4,2,0.44
4,3,0.53
4,4,0.53
4,5,0.48
8,1,0.69
8,2,0.81
8,3,0.75
8,4,0.71
8,5,0.72
16,1,3.47
16,2,3.44
16,3,3.32
16,4,3.47
16,5,3.39
32,1,7.77
32,2,10.70
32,3,10.74
32,4,9.42
32,5,9.08
