Threads,Run,Time (s)
2,1,1.69
2,2,1.70
2,3,1.68
2,4,3.12
2,5,1.67
4,1,0.87
4,2,13.07
4,3,9.25
4,4,4.20
4,5,1.03
8,1,0.43
8,2,4.17
8,3,2.13
8,4,0.49
8,5,0.42
16,1,0.24
16,2,0.24
16,3,0.24
16,4,0.24
16,5,0.24
32,1,0.73
32,2,0.68
32,3,0.93
32,4,0.81
32,5,0.94
