Threads,Run,Time (s)
2,1,1.72
2,2,1.74
2,3,1.72
2,4,1.73
2,5,1.74
4,1,0.88
4,2,0.88
4,3,0.87
4,4,0.88
4,5,0.88
8,1,0.44
8,2,0.44
8,3,0.44
8,4,0.44
8,5,0.44
16,1,0.25
16,2,0.25
16,3,0.25
16,4,0.25
16,5,0.25
32,1,0.25
32,2,0.25
32,3,0.25
32,4,0.25
32,5,0.25
