Threads,Run,Time (s)
2,1,0.16
2,2,0.19
2,3,0.10
2,4,0.18
2,5,0.09
4,1,0.37
4,2,0.48
4,3,0.47
4,4,0.48
4,5,0.47
8,1,0.62
8,2,0.62
8,3,0.66
8,4,0.63
8,5,0.60
16,1,2.10
16,2,2.11
16,3,1.98
16,4,1.91
16,5,1.90
32,1,5.80
32,2,6.23
32,3,5.48
32,4,5.91
32,5,6.08
