Threads,Run,Time (s)
2,1,1.75
2,2,1.76
2,3,1.76
2,4,1.84
2,5,1.75
4,1,0.89
4,2,0.90
4,3,0.89
4,4,0.88
4,5,0.88
8,1,0.44
8,2,0.44
8,3,0.44
8,4,0.44
8,5,0.44
16,1,0.25
16,2,0.24
16,3,0.24
16,4,0.24
16,5,0.25
32,1,0.92
32,2,0.66
32,3,0.76
32,4,0.63
32,5,0.80
