Threads,Run,Time (s)
2,1,0.04
2,2,0.04
2,3,0.04
2,4,0.04
2,5,0.04
4,1,0.02
4,2,0.02
4,3,0.02
4,4,0.02
4,5,0.02
8,1,0.01
8,2,0.01
8,3,0.058
8,4,0.01
8,5,0.05
16,1,0.01
16,2,1.42
16,3,0.01
16,4,2.03
16,5,0.79
32,1,0.13
32,2,0.19
32,3,0.03
32,4,0.02
32,5,0.13
